Disease_Code,Symptoms
D001,"Itchy skin, particularly on the hands and feet"
D002,"Abdominal pain, bleeding, organ dysfunction"
D003,"Intense itching, especially at night, small blisters or bumps"
D004,"Cloudy or hazy eyes, excessive tearing, sensitivity to light"
D005,"Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight"
D006,"Headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness"
D007,"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress"
D008,Lower abdominal pain and discomfort occurring around the time of ovulation
D009,"Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light"
D010,"Blurred distance vision, eyestrain, squinting"
D011,"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue"
D012,"Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth"
D013,"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation"
D014,"Red, swollen, itchy bumps"
D015,"Severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion"
D016,"Excessive worrying, restlessness, increased heart rate, panic attacks"
D017,"Heartburn, acid reflux, chest pain"
D018,"Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area"
D019,"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement"
D020,"Pain during bowel movements, rectal bleeding"
D021,"Shooting or burning pain, tingling or numbness"
D022,"cough, sore throat, runny nose, sneezing"
D023,"Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms"
D024,"Shortness of breath, dry cough, fatigue"
D025,"Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor"
D026,"Frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream"
D027,"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool"
D028,Excessive hair growth in women
D029,"Sharp, shooting pain along the affected nerve"
D030,"Painless lump or swelling, Facial changes"
D031,"Gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear"
D032,"Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)"
D033,"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness"
D034,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness"
D035,"Slurred speech, impaired coordination, confusion"
D036,"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation"
D037,High blood sugar levels during pregnancy
D038,"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings"
D039,"Growth deficiencies, facial abnormalities, developmental delays, intellectual disability"
D040,"Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen"
D041,"Joint pain, stiffness, swelling"
D042,"Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs"
D043,"Sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face"
