Disease_Code,Name,Treatments,Contagious,Chronic
D001,Gestational Cholestasis,,False,False
D002,Injury to Internal Organ,"Immediate medical attention, diagnostic tests, surgery (in some cases)",False,False
D003,Scabies,"Prescription medications (topical or oral scabicides), washing clothes and bedding in hot water, vacuuming and cleaning home",False,True
D004,Congenital Glaucoma,"Surgery (e.g., trabeculotomy, goniotomy) to create a new drainage pathway, medications to reduce intraocular pressure",False,True
D005,Avoidant/Restrictive Food Intake Disorder (ARFID),"Nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medical monitoring, exposure therapy, occupational therapy",False,True
D006,Subdural hemorrhage,"Immediate medical attention, close monitoring of vital signs and neurological status, diagnostic imaging (such as CT or MRI scan), potential surgical intervention (such as craniotomy or burr hole evacuation), medication to manage symptoms",False,True
D007,Poisoning due to Antidepressants,"Seek immediate medical assistance or contact a poison control center, activated charcoal (if indicated), supportive care (maintaining vital signs, airway management), gastric lavage (in certain cases), administration of antidotes (if available and appropriate), monitoring and management of complications",False,True
D008,Mittelschmerz,"Pain management (over-the-counter pain relievers, heat therapy), hormonal birth control (if severe or recurrent)",False,True
D009,Cornea Infection,"Antibiotic or antifungal eye drops, oral medications, supportive care, possible corneal transplant (in severe cases)",False,True
D010,Myopia,"Eyeglasses, contact lenses, refractive surgery (LASIK), orthokeratology (for some cases)",False,False
D011,Abscess of the Lung,"Antibiotics, drainage or surgical removal of the abscess, supportive care, management of underlying lung conditions",True,False
D012,Congenital rubella,"Supportive care to manage symptoms and complications, early intervention services for developmental delays, educational support, vision and hearing interventions, specialized medical care as needed",False,False
D013,Intertrigo,"Keeping the affected area clean and dry, applying topical antifungal or antibacterial creams, using barrier creams",False,False
D014,Insect Bites,"Topical corticosteroids, oral antihistamines, cold compresses",False,False
D015,Complex Regional Pain Syndrome,"Physical therapy (including exercises, stretching, and mirror therapy), pain management techniques (such as medications, nerve blocks, or spinal cord stimulation), sympathetic nerve blocks, psychological support (such as cognitive-behavioral therapy or counseling), occupational therapy, graded motor imagery, transcutaneous electrical nerve stimulation (TENS), patient education and self-management techniques",False,True
D016,Anxiety,"Therapy (cognitive-behavioral therapy, psychotherapy), medications (antidepressants, anti-anxiety drugs)",False,True
D017,Gastroesophageal Reflux Disease (GERD),"Lifestyle changes, medications (antacids, proton pump inhibitors)",False,True
D018,Crushing Injury,"Emergency medical attention, immobilization, pain management, surgery (to repair or reconstruct affected tissues), rehabilitation (physical therapy, occupational therapy)",False,True
D019,Cellulitis,"Antibiotics, Warm compresses, immobilization, rest, Pain management",False,False
D020,Anal Fissure,"Stool softeners, fiber supplements, topical ointments, surgical procedures (in severe cases)",False,False
D021,Neuropathic Pain,"Medications (such as antidepressants, anticonvulsants, topical treatments), nerve blocks, spinal cord stimulation, physical therapy, occupational therapy, transcutaneous electrical nerve stimulation (TENS), acupuncture, cognitive-behavioral therapy, relaxation techniques",False,True
D022,Common Cold,"rest, fluids, over-the-counter medication",True,True
D023,Food Allergy,"Avoidance of allergenic food, antihistamines, epinephrine (in severe cases)",False,False
D024,Pulmonary Fibrosis,"Medications (immunosuppressants, antifibrotic drugs), oxygen therapy, lung transplantation",True,True
D025,Hyperosmotic Hyperketotic State,"Insulin therapy to regulate blood sugar levels, intravenous fluids to correct dehydration, electrolyte replacement, correction of underlying causes (e.g., diabetes management)",True,True
D026,Overflow Incontinence,"Bladder training exercises, double voiding, catheterization, medications (alpha-blockers, anticholinergics), surgery (in severe cases), lifestyle modifications",False,True
D027,Abdominal Injury,"Immediate medical attention, X-ray, CT scan, ultrasound, stabilization of vital signs, pain management, observation for signs of internal bleeding, potential surgical intervention, wound care",False,False
D028,Hirsutism,"Medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes",False,True
D029,Neuralgia,"Medications (pain relievers, anticonvulsants), nerve blocks",False,True
D030,Warthin tumor,Surgical excision,False,False
D031,Presbycusis,"Hearing aids, assistive listening devices, cochlear implants (in severe cases), communication strategies, counseling, regular hearing evaluations",False,False
D032,Opioid Use Disorder,"Medication-assisted treatment (such as methadone, buprenorphine, naltrexone), counseling or therapy (such as cognitive-behavioral therapy, contingency management), support groups (such as Narcotics Anonymous), harm reduction strategies, addressing underlying psychological or social factors, lifestyle changes, ongoing monitoring and support",False,True
D033,Panic disorder,"Antidepressant medications, Cognitive Behavioral Therapy, Relaxation Techniques",False,True
D034,Esophageal Cancer,"Surgery, chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care, clinical trials",False,True
D035,Alcohol Intoxication,"Supportive care, ensuring hydration, monitoring vital signs, prevention of complications",False,True
D036,Pilonidal Cyst,"Warm compresses, pain management, antibiotics (for infection), incision and drainage, surgical removal or excision, wound care, lifestyle modifications to prevent recurrence",False,True
D037,Gestational Diabetes,"Blood sugar monitoring, healthy diet modifications, regular exercise, insulin injections (if needed), close monitoring by healthcare provider",False,True
D038,Drug Withdrawal,"Gradual tapering of the drug under medical supervision, medications to manage withdrawal symptoms (such as benzodiazepines, clonidine, or buprenorphine), behavioral therapy, support groups, counseling, rehabilitation programs",False,True
